,Reviewer,Ratings,Heading,Review
89,Nikhil Nikki,5,Just okay,Not bad 😠
90,Mithilesh chaurasiya,3,Moderate,Local is your headphone and neither left and right is written in it and calling button also does not work well
91,Anagha anu,2,Best in the market!,Good ...l ike it 😍😍😍
92,Pappu Kant,5,Not good,Not good sound quality
93,Nikul Thakor,2,Slightly disappointed,Nike thakor
94,Flipkart Customer,2,Terrific purchase,Very nice bass
95,Sukumar Tripathy,5,Good choice,Nice product.
96,Indrajit mondal,4,Super!,Very nice thanks for Flipkart
97,Parijat Halder,3.4,Does the job,All in all it's good in this price like 158 /- but a bit painful in the ears.
98,A N A N D Youtuber,3,Moderate,Very bad earphones
99,Rishov Dey,2,Best in the market!,"Excellent product I will be very satisfied this product
Very good"
100,Angel Kelawala,5,Worth every penny,All bass and sound is good but only one complain structure bcoz as we keep it in our ears it start paining
101,Sunil Sahu,5,Good,"Not a genuine vivo earphone, no bass, sound average, just okay"
102,Abhishek Paul,3,Utterly Disappointed,"If the microphone makes a bad phone call, you can't hear it"
103,Arunima Saha,1,Does the job,Good sound quality but hurts a bit on the edges of the ear
104,Flipkart Customer,3,Fabulous!,Very nice
105,Arun Kumar Yadav,5,Mind-blowing purchase,"Full Paisa vasul, best headphone and clear sound"
106,Flipkart Customer,5,Nice,10 days working worst earphones
